gene,beta_mean_nuts,beta_sd_nuts,psp_nuts,lfsr_nuts,psp_draws,lfsr_draws,p_beta_gt_0,p_beta_lt_0,p_abs_beta_ge_0_3,p_abs_beta_ge_0_5,n_obs,n_sgrna,n_sample,chains,draws,tune,hit
2023-09-04 00:00:00,0.1322360495286891,0.0983593073872548,0.9135,0.0865,0.9135,0.08650000000000002,0.9135,0.0865,0.04,0.001,16,4,4,2,1000,1000,False
2023-09-05 00:00:00,-0.2289808262463572,0.1121475939015366,0.0205,0.0205,0.0205,0.0205,0.0205,0.9795,0.254,0.012,16,4,4,2,1000,1000,False
2023-09-07 00:00:00,-0.1391935698444188,0.1072881112072564,0.098,0.098,0.098,0.098,0.098,0.902,0.065,0.0015,16,4,4,2,1000,1000,False
2023-09-15 00:00:00,0.1841742114943694,0.1036557428218129,0.9615,0.0384999999999999,0.9615,0.03849999999999998,0.9615,0.0385,0.1295,0.001,16,4,4,2,1000,1000,False
ABCA5,-0.0734066812809665,0.0912404988021385,0.212,0.212,0.212,0.212,0.212,0.788,0.0055,0.0,16,4,4,2,1000,1000,False
ABCB6,0.1314882748189079,0.1068853391761992,0.8895,0.1105,0.8895,0.11050000000000004,0.8895,0.1105,0.056,0.0,16,4,4,2,1000,1000,False
ABCB7,-0.270802819779932,0.1059798229323897,0.0,0.0,0.0,0.0,0.0,1.0,0.37209302325581395,0.023255813953488372,16,4,4,2,1000,1000,False
ABCF1,0.2670414883028965,0.1024802920016397,1.0,0.0,1.0,0.0,1.0,0.0,0.32558139534883723,0.023255813953488372,16,4,4,2,1000,1000,False
ABCG2,-0.0943683581760861,0.1223733141078299,0.213,0.213,0.213,0.213,0.213,0.787,0.044,0.0,16,4,4,2,1000,1000,False
ABCG5,-0.2981137680715615,0.1256914930022147,0.0232558139534883,0.0232558139534883,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.9767441860465116,0.46511627906976744,0.06976744186046512,16,4,4,2,1000,1000,False
ABHD2,-0.226554769476608,0.1233509193374964,0.0232558139534883,0.0232558139534883,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.9767441860465116,0.2558139534883721,0.0,16,4,4,2,1000,1000,False
ABHD3,-0.0713805199763749,0.0927068949864987,0.2085,0.2085,0.2085,0.2085,0.2085,0.7915,0.0105,0.0,16,4,4,2,1000,1000,False
ABR,0.2600588476943913,0.1153589076501398,0.99,0.01,0.99,0.010000000000000009,0.99,0.01,0.356,0.019,16,4,4,2,1000,1000,False
ACACA,0.2517864756639474,0.1145440410381624,0.9815,0.0184999999999999,0.9815,0.01849999999999996,0.9815,0.0185,0.342,0.0175,16,4,4,2,1000,1000,False
ACADS,-0.0873969859680043,0.0926608991061786,0.178,0.178,0.178,0.178,0.178,0.822,0.015,0.0,16,4,4,2,1000,1000,False
ACAP1,0.1928452071100553,0.1125830014425391,0.962,0.038,0.962,0.038000000000000034,0.962,0.038,0.177,0.0035,16,4,4,2,1000,1000,False
ACER2,-0.130754981243652,0.1213473353358949,0.1415,0.1415,0.1415,0.1415,0.1415,0.8585,0.08,0.0005,16,4,4,2,1000,1000,False
ACP2,-0.1356855684980947,0.1053517200511596,0.096,0.096,0.096,0.096,0.096,0.904,0.0565,0.0005,16,4,4,2,1000,1000,False
ACRV1,0.0897105869490601,0.0979386215055529,0.8195,0.1805,0.8195,0.1805,0.8195,0.1805,0.0145,0.0,16,4,4,2,1000,1000,False
ACSL1,-0.0839536380779722,0.1020871611408392,0.1955,0.1955,0.1955,0.1955,0.1955,0.8045,0.0165,0.0,16,4,4,2,1000,1000,False
ACSL3,-0.1435184162071408,0.1149990009097696,0.1035,0.1035,0.1035,0.1035,0.1035,0.8965,0.0855,0.0025,16,4,4,2,1000,1000,False
ACSL6,-0.1243137861747434,0.1198005803530429,0.144,0.144,0.144,0.144,0.144,0.856,0.069,0.0,16,4,4,2,1000,1000,False
ACSM1,-0.0944067597181299,0.1016291071267329,0.1625,0.1625,0.1625,0.1625,0.1625,0.8375,0.031,0.0005,16,4,4,2,1000,1000,False
ACTB,-0.2765443239962658,0.1071012676797955,0.0,0.0,0.0,0.0,0.0,1.0,0.37209302325581395,0.023255813953488372,16,4,4,2,1000,1000,False
ACVR1C,-0.0711740947433203,0.1026207604909547,0.254,0.254,0.254,0.254,0.254,0.746,0.013,0.0,16,4,4,2,1000,1000,False
ADAL,0.1656627488311094,0.1144729281668612,0.9185,0.0815,0.9185,0.08150000000000002,0.9185,0.0815,0.1265,0.0005,16,4,4,2,1000,1000,False
ADAMDEC1,-0.1053470850706473,0.1046047663262508,0.1615,0.1615,0.1615,0.1615,0.1615,0.8385,0.0305,0.0,16,4,4,2,1000,1000,False
ADAMTS1,0.1013732974274152,0.1036779514021071,0.834,0.166,0.834,0.16600000000000004,0.834,0.166,0.0235,0.0,16,4,4,2,1000,1000,False
ADAMTS6,0.2061137952275517,0.1089521571322182,0.972,0.028,0.972,0.028000000000000025,0.972,0.028,0.193,0.002,16,4,4,2,1000,1000,False
ADAMTS8,-0.0704874809452614,0.0990652683043047,0.2445,0.2445,0.2445,0.2445,0.2445,0.7555,0.01,0.0,16,4,4,2,1000,1000,False
ADAP2,-0.1263099324947389,0.1115034678699317,0.1245,0.1245,0.1245,0.1245,0.1245,0.8755,0.065,0.0,16,4,4,2,1000,1000,False
ADCK3,-0.1266440576611101,0.1191244064732133,0.145,0.145,0.145,0.145,0.145,0.855,0.073,0.0015,16,4,4,2,1000,1000,False
ADCY7,0.1391497996001977,0.1163837271491952,0.882,0.118,0.882,0.118,0.882,0.118,0.086,0.0,16,4,4,2,1000,1000,False
ADGRF4,0.1028834404761561,0.0999736641788845,0.848,0.152,0.848,0.15200000000000002,0.848,0.152,0.024,0.0,16,4,4,2,1000,1000,False
ADGRG3,0.1458594523717727,0.1006395187407543,0.923,0.0769999999999999,0.923,0.07699999999999996,0.923,0.077,0.0575,0.0005,16,4,4,2,1000,1000,False
ADGRG5,-0.1662758250820005,0.1118521413970316,0.075,0.075,0.075,0.075,0.075,0.925,0.123,0.0025,16,4,4,2,1000,1000,False
ADGRL1,-0.0802935394359053,0.1168180824721444,0.253,0.253,0.253,0.253,0.253,0.747,0.0245,0.0,16,4,4,2,1000,1000,False
ADGRL3,-0.1019563631394961,0.0918048604805473,0.133,0.133,0.133,0.133,0.133,0.867,0.0145,0.0,16,4,4,2,1000,1000,False
ADH1A,0.1673295951612143,0.1125686749460982,0.932,0.0679999999999999,0.932,0.06799999999999995,0.932,0.068,0.115,0.001,16,4,4,2,1000,1000,False
ADHFE1,0.2073945784360328,0.1013956034891848,0.984,0.016,0.984,0.016000000000000014,0.984,0.016,0.191,0.002,16,4,4,2,1000,1000,False
ADM5,-0.1415379178275082,0.1164165207398623,0.1165,0.1165,0.1165,0.1165,0.1165,0.8835,0.093,0.001,16,4,4,2,1000,1000,False
ADNP,-0.0879999436160616,0.0880171247162141,0.1555,0.1555,0.1555,0.1555,0.1555,0.8445,0.0105,0.0,16,4,4,2,1000,1000,False
ADNP2,0.1317410235528775,0.1032025142949618,0.9,0.0999999999999999,0.9,0.09999999999999998,0.9,0.1,0.0495,0.0005,16,4,4,2,1000,1000,False
